institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
Northern Arizona University,Clinical Psy.D.,"North Valley Campus | Room 113, 15451 N 28th Ave.","Phoenix, AZ 85053","February 25, 2022","Accredited, on contingency",Next site visit scheduled 2025
University of Alabama at Birmingham,Clinical Ph.D.,Campbell Hall Room 201 | 1720 2nd Avenue South,"Birmingham, AL 35294-1170","March 20, 1985",Accredited,Next site visit scheduled 2023
University of Arizona,Clinical Ph.D.,"1503 E. University Blvd, Rm 312","Tucson, AZ 85721","March 01, 1962",Accredited,Next site visit scheduled 2028
University of Alabama at Tuscaloosa,Clinical Ph.D.,Department of Psychology Box 870348,"Tuscaloosa, AL 35487","February 01, 1959",Accredited,Next site visit scheduled 2034
University of Arkansas,Clinical Ph.D.,216 Memorial Hall,"Fayetteville, AR 72701-1201","April 01, 1966",Accredited,Next site visit scheduled 2023
Auburn University,Clinical Ph.D.,226 Thach Hall | Auburn University,"Auburn, AL 36849-5214","November 17, 1976",Accredited,Next site visit scheduled 2029
Arizona State University,Clinical Ph.D.,950 S. McAllister | P.O. Box 871104,"Tempe, AZ 85287-1104","January 21, 1977",Accredited,Next site visit scheduled 2033
"Alliant International University, Fresno",Clinical Ph.D.,,,,,
Midwestern University,Clinical Psy.D.,19555 North 59th Avenue,"Glendale, AZ 85308","March 10, 2011",Accredited,Next site visit scheduled 2023
"Alliant International University, Fresno",Clinical Psy.D.,,,,,
University of Alaska Anchorage,Clinical Ph.D.,3211 Providence Drive,"Anchorage, AK 99508","November 23, 2011",Accredited,Next site visit scheduled 2028
"University of California, Berkeley",Clinical Ph.D.,"Clinical Science Program | 2121 Berkeley Way, #3302","Berkeley, CA 94720-1650","February 01, 1948",Accredited – Inactive,Next site visit scheduled 2033
Alliant International University Los Angeles,Clinical Ph.D.,,,,,
Alliant International University San Francisco Bay,Clinical Ph.D.,,,,,
Alliant International University Los Angeles,Clinical Psy.D.,,,,,
Alliant International University San Francisco Bay,Clinical Psy.D.,,,,,
"University of California, Irvine",Clinical Ph.D.,Department of Psychological Science | 4201 Social & Behavioral Sciences Gateway,"Irvine, CA 92697-7085","October 29, 2024","Accredited, on contingency",Next site visit scheduled 2027
Azusa Pacific University,Clinical Psy.D.,901 East Alosta Avenue | P.O. Box 7000,"Azusa, CA 91702-7000","October 31, 2000",Accredited,Next site visit scheduled 2023
Alliant International University Sacramento,Clinical Psy.D.,,,,,
"University of California, Los Angeles",Clinical Ph.D.,"Psychology Building 1285 | 405 Hilgard Avenue, Box 951563","Los Angeles, CA 90095-1563","February 01, 1948",Accredited,Next site visit scheduled 2028
Biola University,Clinical Ph.D.,13800 Biola Avenue,"La Mirada, CA 90639","May 23, 1980",Accredited,Next site visit scheduled 2029
"Alliant International University, San Diego",Clinical Ph.D.,,,,,
Biola University,Clinical Psy.D.,13800 Biola Avenue,"La Mirada, CA 90639","May 23, 1980",Accredited,Next site visit scheduled 2029
"Alliant International University, San Diego",Clinical Psy.D.,,,,,
California Baptist University,Clinical Psy.D.,8432 Magnolia Avenue,"Riverside, CA 92504","September 28, 2021","Accredited, on contingency",Next site visit scheduled 2024
California Lutheran University,Clinical Psy.D.,"2201 Outlet Center Drive, Ste 600","Oxnard, CA 93036","April 21, 2015",Accredited,Next site visit scheduled 2034
University of La Verne,Clinical Psy.D.,Psy.D. Program in Clinical Psychology | Hoover Building | 1950 Third Street,"La Verne, CA 91750","April 29, 2003",Accredited,Next site visit scheduled 2028
Palo Alto University,Clinical Ph.D.,,,,,
